1,三十三の死,NDC 913,1998/8/11,12
2,日常生活の美学－モダニズムと『いき』,NDC 701,2000/1/20,100
3,あいびき,NDC 983,1998/7/28,5
4,あいびき,NDC 983,1998/7/28,6
5,エア,NDC 913,1999/5/8,7
6,赤蛙,NDC 913,1998/8/26,8
7,赤毛連盟,NDC K933,1999/4/10,10
8,赤毛連盟,NDC K933,1999/4/10,9
9,暁と夕の詩,NDC 911,1997/9/11,11
10,秋は淋しい,NDC 913,1999/9/5,12
11,秋の瞳,NDC 911,1998/5/1,13
12,悪魔の舌,NDC 913,1999/1/23,14
13,十本の針,NDC 917,1999/5/15,879
14,あばばばば,NDC 913,1999/1/16,879
15,アグニの神,NDC K913,1998/12/11,879
16,秋,NDC 913,1998/5/20,879
17,あの頃の自分の事,NDC 914,1998/6/22,879
18,闇中問答,NDC 913 914,1998/3/24,879
19,或阿呆の一生,NDC 913,1998/4/23,879
20,或旧友へ送る手記,NDC 916,1998/4/20,879
21,浅草公園,NDC 912,1999/2/1,879
22,羅生門の後に,NDC 914,1998/12/28,879
23,芭蕉雑記,NDC 911,1999/1/14,879
24,尾生の信,NDC 913,1998/12/8,879
25,文学好きの家庭から,NDC 914,1999/1/12,879
26,文芸的な、余りに文芸的な,NDC 914,1999/2/2,879
27,文章,NDC 913,1999/1/8,879
28,舞踏会,NDC 913,1998/3/24,879
29,カルメン,NDC 913,1999/1/27,879
30,父,NDC 914,1998/11/11,879
31,偸盗,NDC 913,1998/10/4,879
32,大導寺信輔の半生,NDC 913,1998/10/11,879
33,第四の夫から,NDC 913,1999/1/5,879
34,伝吉の敵打ち,NDC 913,1999/1/8,879
35,英雄の器,NDC 913,1998/12/7,879
36,玄鶴山房,NDC 913,1998/10/14,879
37,戯作三昧,NDC 913,1999/1/16,879
38,戯作三昧,NDC 913,2000/4/15,879
39,疑惑,NDC 913,1998/12/8,879
40,歯車,NDC 913,1998/4/27,879
41,母,NDC 913,1999/3/1,879
42,鼻,NDC 913,1997/11/4,879
43,手巾,NDC 913,1998/9/14,879
44,春の心臓,NDC 933,1998/11/30,879
45,春の心臓,NDC 933,1998/11/30,1085
46,春,NDC 913,1999/1/5,879
47,春の夜,NDC 913,1999/2/1,879
48,雛,NDC 913,1998/11/7,879
49,本所両国,NDC 914,1999/8/23,879
50,奉教人の死,NDC 913,1998/6/14,879
51,報恩記,NDC 913,1998/12/19,879
52,文放古,NDC 913,1999/1/8,879
53,不思議な島,NDC 913,1999/1/10,879
54,冬,NDC 913,1999/3/1,879
55,ひょっとこ,NDC 913,1998/11/11,879
56,芋粥,NDC 913,1999/5/29,879
57,犬と笛,NDC K913,1998/12/7,879
58,一夕話,NDC 913,1999/1/10,879
59,糸女覚え書,NDC 913,1999/1/16,879
60,邪宗門,NDC 913,1998/12/7,879
61,地獄変,NDC 913,1998/12/2,879
62,地獄変,NDC 913,1999/11/2,879
63,十円札,NDC 913,1999/1/5,879
64,じゅりあの・吉助,NDC 913,1998/12/28,879
65,影,NDC 913,1999/3/1,879
66,貝殻,NDC 914 917,1999/1/27,879
67,開化の殺人,NDC 913,1998/7/6,879
68,開化の良人,NDC 913,1998/12/23,879
69,神神の微笑,NDC 913,1998/12/19,879
70,河童,NDC 913,1999/1/24,879
71,彼,NDC 913,1999/3/1,879
72,彼　第二,NDC 913,1999/3/1,879
73,枯野抄,NDC 913,1998/6/4,879
74,或敵打の話,NDC 913,1999/1/12,879
75,片恋,NDC 913,1998/12/7,879
76,袈裟と盛遠,NDC 913,1998/12/23,879
77,奇遇,NDC 913,1998/12/19,879
78,奇怪な再会,NDC 913,1998/12/19,879
79,金将軍,NDC 913,1999/1/8,879
